Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
4 4 -8.662408 0.0 -63.6058 11.2071 -50.7902 253.257 -2245.21 252.95 -2256.23 0.0 252.95 -2256.23 66.1766 -63.6058 -2000.7092 47.4751 47.4751
4 5 -8.662408 0.0 -63.6058 11.2071 -50.7902 253.257 -2245.21 252.95 -2256.23 0.0 252.95 -2256.23 66.1766 -63.6058 -2000.7092 47.4751 47.4751
4 6 -8.671865 0.0 -63.7536 11.2111 -50.6828 253.257 -2245.21 252.929 -2256.01 0.0 252.929 -2256.01 66.1468 -63.7536 -2000.6877 47.458 47.458
4 7 -8.671865 0.0 -63.7536 11.2111 -50.6828 253.257 -2245.21 252.929 -2256.01 0.0 252.929 -2256.01 66.1468 -63.7536 -2000.6877 47.458 47.458
5 0 -8.323267 0.0 -71.33 10.7967 -56.1128 253.257 -2245.21 251.937 -2243.14 0.0 251.937 -2243.14 62.4181 -71.33 -2000.1147 49.1871 49.1871
5 1 -8.155766 0.0 -69.2995 10.7729 -56.0266 253.257 -2245.21 251.735 -2243.18 0.0 251.735 -2243.18 63.5137 -69.2995 -1997.2308 50.2391 50.2391
5 2 -7.3087606 0.0 -53.4674 10.8146 -53.7786 253.257 -2245.21 252.673 -2252.95 0.0 252.673 -2252.95 71.0265 -53.4674 -1982.7179 69.5901 69.5901
5 3 -7.3513207 0.0 -54.8205 10.7691 -53.4628 253.257 -2245.21 252.48 -2251.01 0.0 252.48 -2251.01 71.7331 -54.8205 -1981.6174 69.6339 69.6339
5 4 -7.4254694 0.0 -56.3324 10.7789 -53.4743 253.257 -2245.21 252.473 -2249.87 0.0 252.473 -2249.87 72.5232 -56.3324 -1981.2062 69.7053 69.7053
5 5 -7.866405 0.0 -66.774 10.9093 -53.9886 253.257 -2245.21 252.274 -2240.94 0.0 252.274 -2240.94 77.0802 -66.774 -1978.3597 66.099 66.099
5 6 -8.043557 0.0 -70.7003 10.844 -55.2308 253.257 -2245.21 251.945 -2238.6 0.0 251.945 -2238.6 79.9397 -70.7003 -1977.4155 65.4706 65.4706
5 7 -7.8523073 0.0 -68.0709 10.8524 -55.6214 253.257 -2245.21 252.031 -2240.05 0.0 252.031 -2240.05 80.5522 -68.0709 -1975.5378 66.8165 66.8165
6 0 -8.56961 0.0 -72.069 11.2873 -53.4276 253.257 -2245.21 253.296 -2244.68 0.0 253.296 -2244.68 63.6768 -72.069 -1999.776 52.6993 52.6993
6 1 -8.56961 0.0 -72.069 11.2873 -53.4276 253.257 -2245.21 253.296 -2244.68 0.0 253.296 -2244.68 63.6768 -72.069 -1999.776 52.6993 52.6993
6 2 -8.56961 0.0 -72.069 11.2873 -53.4276 253.257 -2245.21 253.296 -2244.68 0.0 253.296 -2244.68 63.6768 -72.069 -1999.776 52.6993 52.6993
6 3 -8.565181 0.0 -72.079 11.2797 -53.5484 253.257 -2245.21 253.196 -2244.57 0.0 253.196 -2244.57 64.0255 -72.079 -1999.4275 52.7378 52.7378
6 4 -8.482027 0.0 -71.0564 11.2566 -53.4215 253.257 -2245.21 253.176 -2244.67 0.0 253.176 -2244.67 63.9421 -71.0564 -1998.6082 52.8388 52.8388
6 5 -8.482027 0.0 -71.0564 11.2566 -53.4215 253.257 -2245.21 253.176 -2244.67 0.0 253.176 -2244.67 63.9421 -71.0564 -1998.6082 52.8388 52.8388
