Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
4 1 -7.4288716 0.0 -52.3897 7.53988 -40.2719 268.591 -2156.0 268.257 -2159.31 0.0 268.257 -2159.31 89.6456 -52.3897 -1853.7972 51.7848 51.7848
4 2 -7.4288716 0.0 -52.3897 7.53988 -40.2719 268.591 -2156.0 268.257 -2159.31 0.0 268.257 -2159.31 89.6456 -52.3897 -1853.7972 51.7848 51.7848
4 3 -7.4288716 0.0 -52.3897 7.53988 -40.2719 268.591 -2156.0 268.257 -2159.31 0.0 268.257 -2159.31 89.6456 -52.3897 -1853.7972 51.7848 51.7848
4 4 -7.423713 0.0 -52.2564 7.54123 -40.2768 268.591 -2156.0 268.241 -2159.41 0.0 268.241 -2159.41 89.8382 -52.2564 -1853.5872 51.8313 51.8313
4 5 -7.423713 0.0 -52.2564 7.54123 -40.2768 268.591 -2156.0 268.241 -2159.41 0.0 268.241 -2159.41 89.8382 -52.2564 -1853.5872 51.8313 51.8313
4 6 -7.423713 0.0 -52.2564 7.54123 -40.2768 268.591 -2156.0 268.241 -2159.41 0.0 268.241 -2159.41 89.8382 -52.2564 -1853.5872 51.8313 51.8313
4 7 -7.4049664 0.0 -51.8227 7.54292 -40.2688 268.591 -2156.0 268.187 -2159.68 0.0 268.187 -2159.68 89.9664 -51.8227 -1853.3491 51.9791 51.9791
5 0 -7.4672894 0.0 -50.9552 7.71876 -41.1348 268.591 -2156.0 267.389 -2161.4 0.0 267.389 -2161.4 91.522 -50.9552 -1853.444 46.4735 46.4735
5 1 -7.4672894 0.0 -50.9552 7.71876 -41.1348 268.591 -2156.0 267.389 -2161.4 0.0 267.389 -2161.4 91.522 -50.9552 -1853.444 46.4735 46.4735
5 2 -7.4672894 0.0 -50.9552 7.71876 -41.1348 268.591 -2156.0 267.389 -2161.4 0.0 267.389 -2161.4 91.522 -50.9552 -1853.444 46.4735 46.4735
5 3 -7.4672894 0.0 -50.9552 7.71876 -41.1348 268.591 -2156.0 267.389 -2161.4 0.0 267.389 -2161.4 91.522 -50.9552 -1853.444 46.4735 46.4735
5 4 -7.4700303 0.0 -50.9963 7.72024 -41.1276 268.591 -2156.0 267.388 -2161.37 0.0 267.388 -2161.37 91.5467 -50.9963 -1853.4319 46.4744 46.4744
5 5 -7.4700303 0.0 -50.9963 7.72024 -41.1276 268.591 -2156.0 267.388 -2161.37 0.0 267.388 -2161.37 91.5467 -50.9963 -1853.4319 46.4744 46.4744
5 6 -7.456795 0.0 -50.7971 7.71891 -41.1322 268.591 -2156.0 267.389 -2161.47 0.0 267.389 -2161.47 91.4768 -50.7971 -1853.4012 46.4697 46.4697
5 7 -7.456795 0.0 -50.7971 7.71891 -41.1322 268.591 -2156.0 267.389 -2161.47 0.0 267.389 -2161.47 91.4768 -50.7971 -1853.4012 46.4697 46.4697
5 8 -7.5524874 0.0 -54.5935 7.85491 -41.7553 268.591 -2156.0 267.953 -2158.45 0.0 267.953 -2158.45 93.5031 -54.5935 -1851.5873 49.0373 49.0373
